chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.267509	NC_074665.1	267509	F	47	65.96	34.04
NC_074665.1.267558	NC_074665.1	267558	F	40	87.50	12.50
NC_074665.1.266067	NC_074665.1	266067	R	38	76.32	23.68
NC_074665.1.267510	NC_074665.1	267510	R	31	77.42	22.58
NC_074665.1.267559	NC_074665.1	267559	R	25	84.00	16.00
NC_074665.1.1454616	NC_074665.1	1454616	F	21	90.48	9.52
NC_074665.1.3003126	NC_074665.1	3003126	F	35	71.43	28.57
NC_074665.1.3003180	NC_074665.1	3003180	F	84	78.57	21.43
NC_074665.1.3003234	NC_074665.1	3003234	F	87	86.21	13.79
NC_074665.1.3003288	NC_074665.1	3003288	F	32	65.62	34.38
NC_074665.1.3003450	NC_074665.1	3003450	F	28	75.00	25.00
NC_074665.1.4505198	NC_074665.1	4505198	R	25	96.00	4.00
NC_074665.1.4505242	NC_074665.1	4505242	R	22	54.55	45.45
NC_074665.1.4505286	NC_074665.1	4505286	R	20	65.00	35.00
NC_074665.1.4505320	NC_074665.1	4505320	R	20	80.00	20.00
NC_074665.1.4505608	NC_074665.1	4505608	R	20	100.00	0.00
NC_074665.1.4930977	NC_074665.1	4930977	F	22	0.00	100.00
NC_074665.1.4933822	NC_074665.1	4933822	R	22	0.00	100.00
NC_074665.1.6905221	NC_074665.1	6905221	F	20	85.00	15.00
NC_074665.1.7457277	NC_074665.1	7457277	R	24	95.83	4.17
NC_074665.1.7457309	NC_074665.1	7457309	R	26	96.15	3.85
NC_074665.1.7530767	NC_074665.1	7530767	R	24	79.17	20.83
NC_074665.1.7530819	NC_074665.1	7530819	R	25	84.00	16.00
NC_074665.1.7530871	NC_074665.1	7530871	R	21	80.95	19.05
NC_074665.1.7613743	NC_074665.1	7613743	R	22	54.55	45.45
NC_074665.1.7613807	NC_074665.1	7613807	R	31	58.06	41.94
NC_074665.1.7613904	NC_074665.1	7613904	R	30	53.33	46.67
NC_074665.1.7882520	NC_074665.1	7882520	F	20	95.00	5.00
NC_074665.1.13254710	NC_074665.1	13254710	F	23	78.26	21.74
NC_074665.1.13254747	NC_074665.1	13254747	F	30	70.00	30.00
NC_074665.1.15791133	NC_074665.1	15791133	F	20	85.00	15.00
NC_074665.1.15791168	NC_074665.1	15791168	F	21	90.48	9.52
NC_074665.1.15791064	NC_074665.1	15791064	R	20	80.00	20.00
NC_074665.1.25389173	NC_074665.1	25389173	F	26	50.00	50.00
NC_074665.1.25389449	NC_074665.1	25389449	F	42	47.62	52.38
NC_074665.1.25389450	NC_074665.1	25389450	R	39	12.82	87.18
NC_074665.1.30758331	NC_074665.1	30758331	F	20	100.00	0.00
NC_074665.1.30758336	NC_074665.1	30758336	F	20	95.00	5.00
NC_074665.1.30758350	NC_074665.1	30758350	F	20	65.00	35.00
NC_074665.1.35586225	NC_074665.1	35586225	R	21	85.71	14.29
NC_074665.1.35586246	NC_074665.1	35586246	R	20	85.00	15.00
NC_074665.1.35825338	NC_074665.1	35825338	F	20	95.00	5.00
NC_074665.1.35825352	NC_074665.1	35825352	F	21	100.00	0.00
NC_074665.1.35975155	NC_074665.1	35975155	R	20	95.00	5.00
NC_074665.1.38722392	NC_074665.1	38722392	R	21	90.48	9.52
NC_074665.1.38981515	NC_074665.1	38981515	F	23	91.30	8.70
NC_074665.1.38981520	NC_074665.1	38981520	F	23	91.30	8.70
NC_074665.1.38981527	NC_074665.1	38981527	F	23	86.96	13.04
NC_074665.1.38981535	NC_074665.1	38981535	F	23	95.65	4.35
NC_074665.1.38981548	NC_074665.1	38981548	F	25	72.00	28.00
NC_074665.1.38981560	NC_074665.1	38981560	F	24	91.67	8.33
NC_074665.1.38981574	NC_074665.1	38981574	F	25	84.00	16.00
NC_074665.1.38981586	NC_074665.1	38981586	F	21	23.81	76.19
NC_074665.1.38981599	NC_074665.1	38981599	F	23	95.65	4.35
NC_074665.1.38981604	NC_074665.1	38981604	F	26	88.46	11.54
NC_074665.1.38981608	NC_074665.1	38981608	F	24	91.67	8.33
NC_074665.1.38981549	NC_074665.1	38981549	R	21	90.48	9.52
NC_074665.1.38981561	NC_074665.1	38981561	R	24	95.83	4.17
NC_074665.1.38981575	NC_074665.1	38981575	R	22	100.00	0.00
