chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.3001020	NC_074665.1	3001020	F	22	63.64	36.36
NC_074665.1.3003126	NC_074665.1	3003126	F	34	64.71	35.29
NC_074665.1.3003180	NC_074665.1	3003180	F	96	75.00	25.00
NC_074665.1.3003234	NC_074665.1	3003234	F	91	80.22	19.78
NC_074665.1.3003288	NC_074665.1	3003288	F	36	77.78	22.22
NC_074665.1.3003396	NC_074665.1	3003396	F	24	70.83	29.17
NC_074665.1.3003450	NC_074665.1	3003450	F	32	65.62	34.38
NC_074665.1.3335927	NC_074665.1	3335927	F	20	15.00	85.00
NC_074665.1.6905180	NC_074665.1	6905180	R	28	92.86	7.14
NC_074665.1.6905222	NC_074665.1	6905222	R	24	91.67	8.33
NC_074665.1.6905264	NC_074665.1	6905264	R	24	75.00	25.00
NC_074665.1.7075854	NC_074665.1	7075854	R	20	80.00	20.00
NC_074665.1.7075868	NC_074665.1	7075868	R	20	90.00	10.00
NC_074665.1.7075877	NC_074665.1	7075877	R	21	85.71	14.29
NC_074665.1.7075896	NC_074665.1	7075896	R	21	90.48	9.52
NC_074665.1.7075905	NC_074665.1	7075905	R	20	85.00	15.00
NC_074665.1.7075910	NC_074665.1	7075910	R	20	95.00	5.00
NC_074665.1.7075924	NC_074665.1	7075924	R	20	95.00	5.00
NC_074665.1.7075933	NC_074665.1	7075933	R	21	85.71	14.29
NC_074665.1.7426817	NC_074665.1	7426817	R	24	66.67	33.33
NC_074665.1.7426865	NC_074665.1	7426865	R	21	95.24	4.76
NC_074665.1.7490227	NC_074665.1	7490227	F	21	66.67	33.33
NC_074665.1.7613743	NC_074665.1	7613743	R	20	75.00	25.00
NC_074665.1.7613807	NC_074665.1	7613807	R	32	75.00	25.00
NC_074665.1.7613904	NC_074665.1	7613904	R	31	58.06	41.94
NC_074665.1.7614001	NC_074665.1	7614001	R	22	45.45	54.55
NC_074665.1.15628699	NC_074665.1	15628699	F	21	80.95	19.05
NC_074665.1.15628710	NC_074665.1	15628710	F	21	90.48	9.52
NC_074665.1.15628716	NC_074665.1	15628716	F	20	90.00	10.00
NC_074665.1.15628719	NC_074665.1	15628719	F	20	85.00	15.00
NC_074665.1.15629614	NC_074665.1	15629614	R	20	100.00	0.00
NC_074665.1.19879818	NC_074665.1	19879818	R	20	70.00	30.00
NC_074665.1.35171401	NC_074665.1	35171401	R	21	95.24	4.76
NC_074665.1.44803076	NC_074665.1	44803076	F	20	95.00	5.00
NC_074665.1.44803371	NC_074665.1	44803371	F	20	70.00	30.00
NC_074665.1.44804472	NC_074665.1	44804472	F	21	95.24	4.76
NC_074665.1.44804516	NC_074665.1	44804516	F	20	100.00	0.00
NC_074665.1.44804522	NC_074665.1	44804522	F	21	100.00	0.00
NC_074665.1.44804617	NC_074665.1	44804617	F	20	80.00	20.00
NC_074665.1.44804646	NC_074665.1	44804646	F	25	84.00	16.00
NC_074665.1.44804649	NC_074665.1	44804649	F	24	87.50	12.50
NC_074665.1.44804667	NC_074665.1	44804667	F	28	78.57	21.43
NC_074665.1.44804670	NC_074665.1	44804670	F	27	81.48	18.52
NC_074665.1.44804677	NC_074665.1	44804677	F	27	88.89	11.11
NC_074665.1.44804694	NC_074665.1	44804694	F	28	89.29	10.71
NC_074665.1.44804725	NC_074665.1	44804725	F	36	94.44	5.56
NC_074665.1.44804779	NC_074665.1	44804779	F	33	69.70	30.30
NC_074665.1.44804792	NC_074665.1	44804792	F	32	90.62	9.38
NC_074665.1.44804807	NC_074665.1	44804807	F	28	78.57	21.43
NC_074665.1.44804821	NC_074665.1	44804821	F	25	84.00	16.00
NC_074665.1.44804828	NC_074665.1	44804828	F	20	85.00	15.00
NC_074665.1.44804885	NC_074665.1	44804885	F	25	92.00	8.00
NC_074665.1.44804889	NC_074665.1	44804889	F	26	88.46	11.54
NC_074665.1.44804917	NC_074665.1	44804917	F	23	91.30	8.70
NC_074665.1.44804940	NC_074665.1	44804940	F	24	83.33	16.67
NC_074665.1.44804974	NC_074665.1	44804974	F	29	100.00	0.00
NC_074665.1.44804998	NC_074665.1	44804998	F	27	96.30	3.70
NC_074665.1.44805003	NC_074665.1	44805003	F	32	90.62	9.38
NC_074665.1.44805043	NC_074665.1	44805043	F	22	100.00	0.00
NC_074665.1.44805067	NC_074665.1	44805067	F	22	100.00	0.00
NC_074665.1.44805086	NC_074665.1	44805086	F	20	90.00	10.00
NC_074665.1.44805174	NC_074665.1	44805174	F	20	95.00	5.00
NC_074665.1.44805181	NC_074665.1	44805181	F	21	95.24	4.76
NC_074665.1.44805183	NC_074665.1	44805183	F	21	85.71	14.29
NC_074665.1.44805195	NC_074665.1	44805195	F	25	88.00	12.00
NC_074665.1.44805200	NC_074665.1	44805200	F	22	81.82	18.18
NC_074665.1.44805246	NC_074665.1	44805246	F	24	79.17	20.83
NC_074665.1.44805261	NC_074665.1	44805261	F	24	75.00	25.00
NC_074665.1.44805263	NC_074665.1	44805263	F	24	83.33	16.67
NC_074665.1.44805310	NC_074665.1	44805310	F	25	72.00	28.00
NC_074665.1.44805317	NC_074665.1	44805317	F	27	96.30	3.70
NC_074665.1.44805319	NC_074665.1	44805319	F	28	96.43	3.57
NC_074665.1.44805324	NC_074665.1	44805324	F	23	95.65	4.35
NC_074665.1.44805363	NC_074665.1	44805363	F	20	100.00	0.00
