chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.1454383	NC_074665.1	1454383	F	24	75.00	25.00
NC_074665.1.1454663	NC_074665.1	1454663	F	23	78.26	21.74
NC_074665.1.3003180	NC_074665.1	3003180	F	38	60.53	39.47
NC_074665.1.3003234	NC_074665.1	3003234	F	37	70.27	29.73
NC_074665.1.7075821	NC_074665.1	7075821	R	20	95.00	5.00
NC_074665.1.7075849	NC_074665.1	7075849	R	24	91.67	8.33
NC_074665.1.7075854	NC_074665.1	7075854	R	24	91.67	8.33
NC_074665.1.7075868	NC_074665.1	7075868	R	21	90.48	9.52
NC_074665.1.7075877	NC_074665.1	7075877	R	22	86.36	13.64
NC_074665.1.7075882	NC_074665.1	7075882	R	23	91.30	8.70
NC_074665.1.7075896	NC_074665.1	7075896	R	23	91.30	8.70
NC_074665.1.7075905	NC_074665.1	7075905	R	20	80.00	20.00
NC_074665.1.7075910	NC_074665.1	7075910	R	20	90.00	10.00
NC_074665.1.7075924	NC_074665.1	7075924	R	22	86.36	13.64
NC_074665.1.7075933	NC_074665.1	7075933	R	22	77.27	22.73
NC_074665.1.7488799	NC_074665.1	7488799	F	22	36.36	63.64
NC_074665.1.7488816	NC_074665.1	7488816	F	24	25.00	75.00
NC_074665.1.7488833	NC_074665.1	7488833	F	26	34.62	65.38
NC_074665.1.7488850	NC_074665.1	7488850	F	25	44.00	56.00
NC_074665.1.7488867	NC_074665.1	7488867	F	26	23.08	76.92
NC_074665.1.7488884	NC_074665.1	7488884	F	23	39.13	60.87
NC_074665.1.7488901	NC_074665.1	7488901	F	20	25.00	75.00
NC_074665.1.7613343	NC_074665.1	7613343	F	28	3.57	96.43
NC_074665.1.7613376	NC_074665.1	7613376	F	28	0.00	100.00
NC_074665.1.7613409	NC_074665.1	7613409	F	23	0.00	100.00
NC_074665.1.7613743	NC_074665.1	7613743	R	25	40.00	60.00
NC_074665.1.7613807	NC_074665.1	7613807	R	46	60.87	39.13
NC_074665.1.7613904	NC_074665.1	7613904	R	42	38.10	61.90
NC_074665.1.7614001	NC_074665.1	7614001	R	27	33.33	66.67
NC_074665.1.7614033	NC_074665.1	7614033	R	20	55.00	45.00
NC_074665.1.7614292	NC_074665.1	7614292	R	23	78.26	21.74
NC_074665.1.7614357	NC_074665.1	7614357	R	36	66.67	33.33
NC_074665.1.7614520	NC_074665.1	7614520	R	24	50.00	50.00
NC_074665.1.7614715	NC_074665.1	7614715	R	24	54.17	45.83
NC_074665.1.25389449	NC_074665.1	25389449	F	20	40.00	60.00
NC_074665.1.30758086	NC_074665.1	30758086	F	20	75.00	25.00
NC_074665.1.30758336	NC_074665.1	30758336	F	21	80.95	19.05
NC_074665.1.30758350	NC_074665.1	30758350	F	21	66.67	33.33
NC_074665.1.30758355	NC_074665.1	30758355	F	21	80.95	19.05
NC_074665.1.30758362	NC_074665.1	30758362	F	20	75.00	25.00
NC_074665.1.30758365	NC_074665.1	30758365	F	20	85.00	15.00
NC_074665.1.34691702	NC_074665.1	34691702	F	21	100.00	0.00
NC_074665.1.34691708	NC_074665.1	34691708	F	22	100.00	0.00
NC_074665.1.34691733	NC_074665.1	34691733	F	27	85.19	14.81
NC_074665.1.34691988	NC_074665.1	34691988	F	24	87.50	12.50
NC_074665.1.34692033	NC_074665.1	34692033	F	22	81.82	18.18
NC_074665.1.35171332	NC_074665.1	35171332	R	20	85.00	15.00
NC_074665.1.36978296	NC_074665.1	36978296	F	34	0.00	100.00
NC_074665.1.38981527	NC_074665.1	38981527	F	20	100.00	0.00
NC_074665.1.38981535	NC_074665.1	38981535	F	20	95.00	5.00
NC_074665.1.38981548	NC_074665.1	38981548	F	25	92.00	8.00
NC_074665.1.38981560	NC_074665.1	38981560	F	22	95.45	4.55
NC_074665.1.38981574	NC_074665.1	38981574	F	23	95.65	4.35
NC_074665.1.38981599	NC_074665.1	38981599	F	22	86.36	13.64
NC_074665.1.38981604	NC_074665.1	38981604	F	22	86.36	13.64
NC_074665.1.38981608	NC_074665.1	38981608	F	20	85.00	15.00
NC_074665.1.45225816	NC_074665.1	45225816	F	22	31.82	68.18
NC_074665.1.45225817	NC_074665.1	45225817	R	21	76.19	23.81
NC_074665.1.45226003	NC_074665.1	45226003	R	20	90.00	10.00
NC_074665.1.50386806	NC_074665.1	50386806	F	25	92.00	8.00
NC_074665.1.50386809	NC_074665.1	50386809	F	22	100.00	0.00
NC_074665.1.50386812	NC_074665.1	50386812	F	22	100.00	0.00
NC_074665.1.50386818	NC_074665.1	50386818	F	23	95.65	4.35
NC_074665.1.50386821	NC_074665.1	50386821	F	23	91.30	8.70
NC_074665.1.50386824	NC_074665.1	50386824	F	23	95.65	4.35
NC_074665.1.50386836	NC_074665.1	50386836	F	22	100.00	0.00
NC_074665.1.50386842	NC_074665.1	50386842	F	21	95.24	4.76
NC_074665.1.50386845	NC_074665.1	50386845	F	20	100.00	0.00
NC_074665.1.50386849	NC_074665.1	50386849	F	22	100.00	0.00
NC_074665.1.50386860	NC_074665.1	50386860	F	24	91.67	8.33
NC_074665.1.50386866	NC_074665.1	50386866	F	24	100.00	0.00
NC_074665.1.50386881	NC_074665.1	50386881	F	24	95.83	4.17
NC_074665.1.50386993	NC_074665.1	50386993	F	22	100.00	0.00
NC_074665.1.50387005	NC_074665.1	50387005	F	26	88.46	11.54
NC_074665.1.50387008	NC_074665.1	50387008	F	25	96.00	4.00
NC_074665.1.50387011	NC_074665.1	50387011	F	25	100.00	0.00
NC_074665.1.50387014	NC_074665.1	50387014	F	24	95.83	4.17
NC_074665.1.50387020	NC_074665.1	50387020	F	24	100.00	0.00
NC_074665.1.50387023	NC_074665.1	50387023	F	23	100.00	0.00
NC_074665.1.50387026	NC_074665.1	50387026	F	22	100.00	0.00
NC_074665.1.50387029	NC_074665.1	50387029	F	24	95.83	4.17
NC_074665.1.50387038	NC_074665.1	50387038	F	22	90.91	9.09
NC_074665.1.50387044	NC_074665.1	50387044	F	22	95.45	4.55
NC_074665.1.50387047	NC_074665.1	50387047	F	21	95.24	4.76
NC_074665.1.50387051	NC_074665.1	50387051	F	23	95.65	4.35
NC_074665.1.54489684	NC_074665.1	54489684	F	20	70.00	30.00
NC_074665.1.56742812	NC_074665.1	56742812	F	20	95.00	5.00
NC_074665.1.56742815	NC_074665.1	56742815	F	21	95.24	4.76
NC_074665.1.56742817	NC_074665.1	56742817	F	21	100.00	0.00
NC_074665.1.56743102	NC_074665.1	56743102	F	20	90.00	10.00
NC_074665.1.58530262	NC_074665.1	58530262	R	21	66.67	33.33
NC_074665.1.58530300	NC_074665.1	58530300	R	21	66.67	33.33
NC_074665.1.59352956	NC_074665.1	59352956	F	21	85.71	14.29
NC_074665.1.61509729	NC_074665.1	61509729	F	20	60.00	40.00
NC_074665.1.67592081	NC_074665.1	67592081	F	21	90.48	9.52
NC_074665.1.67592096	NC_074665.1	67592096	F	28	100.00	0.00
NC_074665.1.67592104	NC_074665.1	67592104	F	29	96.55	3.45
NC_074665.1.67592111	NC_074665.1	67592111	F	29	100.00	0.00
NC_074665.1.67592156	NC_074665.1	67592156	F	29	79.31	20.69
NC_074665.1.67592112	NC_074665.1	67592112	R	22	95.45	4.55
NC_074665.1.67592157	NC_074665.1	67592157	R	21	90.48	9.52
NC_074665.1.67903397	NC_074665.1	67903397	R	23	95.65	4.35
NC_074665.1.67903442	NC_074665.1	67903442	R	22	90.91	9.09
NC_074665.1.67903677	NC_074665.1	67903677	R	20	90.00	10.00
NC_074665.1.69327454	NC_074665.1	69327454	R	23	56.52	43.48
NC_074665.1.69327739	NC_074665.1	69327739	R	22	77.27	22.73
NC_074665.1.80521829	NC_074665.1	80521829	R	20	65.00	35.00
NC_074665.1.84065082	NC_074665.1	84065082	R	20	80.00	20.00
NC_074665.1.84065160	NC_074665.1	84065160	R	21	66.67	33.33
NC_074665.1.84487850	NC_074665.1	84487850	R	20	50.00	50.00
NC_074665.1.85087834	NC_074665.1	85087834	R	24	87.50	12.50
NC_074665.1.85088149	NC_074665.1	85088149	R	22	95.45	4.55
NC_074665.1.85433197	NC_074665.1	85433197	R	20	65.00	35.00
NC_074665.1.85435112	NC_074665.1	85435112	F	27	40.74	59.26
NC_074665.1.85435208	NC_074665.1	85435208	F	47	27.66	72.34
NC_074665.1.85539144	NC_074665.1	85539144	F	20	35.00	65.00
NC_074665.1.86570201	NC_074665.1	86570201	F	28	89.29	10.71
NC_074665.1.86570231	NC_074665.1	86570231	F	41	95.12	4.88
NC_074665.1.86570261	NC_074665.1	86570261	F	47	82.98	17.02
NC_074665.1.86570291	NC_074665.1	86570291	F	41	92.68	7.32
NC_074665.1.86570321	NC_074665.1	86570321	F	34	94.12	5.88
NC_074665.1.86570351	NC_074665.1	86570351	F	22	90.91	9.09
NC_074665.1.92377214	NC_074665.1	92377214	F	23	82.61	17.39
NC_074665.1.92377216	NC_074665.1	92377216	F	23	82.61	17.39
NC_074665.1.92377220	NC_074665.1	92377220	F	23	91.30	8.70
NC_074665.1.92377229	NC_074665.1	92377229	F	26	69.23	30.77
NC_074665.1.92377231	NC_074665.1	92377231	F	27	88.89	11.11
NC_074665.1.92377242	NC_074665.1	92377242	F	27	88.89	11.11
NC_074665.1.92377247	NC_074665.1	92377247	F	26	80.77	19.23
NC_074665.1.92377253	NC_074665.1	92377253	F	25	84.00	16.00
NC_074665.1.92377257	NC_074665.1	92377257	F	23	73.91	26.09
NC_074665.1.92377273	NC_074665.1	92377273	F	24	87.50	12.50
NC_074665.1.92377415	NC_074665.1	92377415	F	22	90.91	9.09
NC_074665.1.92377419	NC_074665.1	92377419	F	23	91.30	8.70
NC_074665.1.92377430	NC_074665.1	92377430	F	20	85.00	15.00
NC_074665.1.92377446	NC_074665.1	92377446	F	21	80.95	19.05
NC_074665.1.92379596	NC_074665.1	92379596	F	20	85.00	15.00
NC_074665.1.92379994	NC_074665.1	92379994	F	21	90.48	9.52
NC_074665.1.92380009	NC_074665.1	92380009	F	23	91.30	8.70
NC_074665.1.92380020	NC_074665.1	92380020	F	20	80.00	20.00
NC_074665.1.92385572	NC_074665.1	92385572	F	23	95.65	4.35
NC_074665.1.92385576	NC_074665.1	92385576	F	25	92.00	8.00
NC_074665.1.92385585	NC_074665.1	92385585	F	25	72.00	28.00
NC_074665.1.92385587	NC_074665.1	92385587	F	26	96.15	3.85
NC_074665.1.92385598	NC_074665.1	92385598	F	25	72.00	28.00
NC_074665.1.92385603	NC_074665.1	92385603	F	26	69.23	30.77
NC_074665.1.92385609	NC_074665.1	92385609	F	25	68.00	32.00
NC_074665.1.92385613	NC_074665.1	92385613	F	25	68.00	32.00
NC_074665.1.92385629	NC_074665.1	92385629	F	23	60.87	39.13
NC_074665.1.92388591	NC_074665.1	92388591	R	21	100.00	0.00
