chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.267509	NC_074665.1	267509	F	26	65.38	34.62
NC_074665.1.267558	NC_074665.1	267558	F	22	81.82	18.18
NC_074665.1.267510	NC_074665.1	267510	R	27	70.37	29.63
NC_074665.1.267559	NC_074665.1	267559	R	24	79.17	20.83
NC_074665.1.1454669	NC_074665.1	1454669	F	20	90.00	10.00
NC_074665.1.1454613	NC_074665.1	1454613	R	21	90.48	9.52
NC_074665.1.1454617	NC_074665.1	1454617	R	20	80.00	20.00
NC_074665.1.2378105	NC_074665.1	2378105	R	21	14.29	85.71
NC_074665.1.2378158	NC_074665.1	2378158	R	22	4.55	95.45
NC_074665.1.3003126	NC_074665.1	3003126	F	36	63.89	36.11
NC_074665.1.3003180	NC_074665.1	3003180	F	64	78.12	21.88
NC_074665.1.3003234	NC_074665.1	3003234	F	66	80.30	19.70
NC_074665.1.3003288	NC_074665.1	3003288	F	21	66.67	33.33
NC_074665.1.4505485	NC_074665.1	4505485	F	20	90.00	10.00
NC_074665.1.4505564	NC_074665.1	4505564	R	23	86.96	13.04
NC_074665.1.4505608	NC_074665.1	4505608	R	25	100.00	0.00
NC_074665.1.4505652	NC_074665.1	4505652	R	21	85.71	14.29
NC_074665.1.4933822	NC_074665.1	4933822	R	23	0.00	100.00
NC_074665.1.7530767	NC_074665.1	7530767	R	29	68.97	31.03
NC_074665.1.7530819	NC_074665.1	7530819	R	32	75.00	25.00
NC_074665.1.7530871	NC_074665.1	7530871	R	24	79.17	20.83
NC_074665.1.7612670	NC_074665.1	7612670	F	24	0.00	100.00
NC_074665.1.7613343	NC_074665.1	7613343	F	26	0.00	100.00
NC_074665.1.7613376	NC_074665.1	7613376	F	30	0.00	100.00
NC_074665.1.7613409	NC_074665.1	7613409	F	31	0.00	100.00
NC_074665.1.7614357	NC_074665.1	7614357	R	26	46.15	53.85
NC_074665.1.8445505	NC_074665.1	8445505	R	23	56.52	43.48
NC_074665.1.8445551	NC_074665.1	8445551	R	24	66.67	33.33
NC_074665.1.8445583	NC_074665.1	8445583	R	28	35.71	64.29
NC_074665.1.8445597	NC_074665.1	8445597	R	20	55.00	45.00
NC_074665.1.15791028	NC_074665.1	15791028	F	21	76.19	23.81
NC_074665.1.15791063	NC_074665.1	15791063	F	27	74.07	25.93
NC_074665.1.15791133	NC_074665.1	15791133	F	21	90.48	9.52
NC_074665.1.15791168	NC_074665.1	15791168	F	24	79.17	20.83
NC_074665.1.19879818	NC_074665.1	19879818	R	26	80.77	19.23
NC_074665.1.19879868	NC_074665.1	19879868	R	24	25.00	75.00
NC_074665.1.19879918	NC_074665.1	19879918	R	20	80.00	20.00
NC_074665.1.25389173	NC_074665.1	25389173	F	34	67.65	32.35
NC_074665.1.25389449	NC_074665.1	25389449	F	55	49.09	50.91
NC_074665.1.25389450	NC_074665.1	25389450	R	35	17.14	82.86
NC_074665.1.38981527	NC_074665.1	38981527	F	20	90.00	10.00
NC_074665.1.38981548	NC_074665.1	38981548	F	21	95.24	4.76
NC_074665.1.38981560	NC_074665.1	38981560	F	24	95.83	4.17
NC_074665.1.38981574	NC_074665.1	38981574	F	25	96.00	4.00
NC_074665.1.38981586	NC_074665.1	38981586	F	22	18.18	81.82
NC_074665.1.38981599	NC_074665.1	38981599	F	25	92.00	8.00
NC_074665.1.38981604	NC_074665.1	38981604	F	23	78.26	21.74
NC_074665.1.38981608	NC_074665.1	38981608	F	20	80.00	20.00
NC_074665.1.38981549	NC_074665.1	38981549	R	21	100.00	0.00
NC_074665.1.38981561	NC_074665.1	38981561	R	21	100.00	0.00
NC_074665.1.38981575	NC_074665.1	38981575	R	25	100.00	0.00
NC_074665.1.38981587	NC_074665.1	38981587	R	22	13.64	86.36
NC_074665.1.38981600	NC_074665.1	38981600	R	24	100.00	0.00
NC_074665.1.38981605	NC_074665.1	38981605	R	24	95.83	4.17
NC_074665.1.38981609	NC_074665.1	38981609	R	22	100.00	0.00
NC_074665.1.45225816	NC_074665.1	45225816	F	21	71.43	28.57
NC_074665.1.45225817	NC_074665.1	45225817	R	20	85.00	15.00
NC_074665.1.50386818	NC_074665.1	50386818	F	20	95.00	5.00
NC_074665.1.50386821	NC_074665.1	50386821	F	20	100.00	0.00
NC_074665.1.50386845	NC_074665.1	50386845	F	20	95.00	5.00
NC_074665.1.50386860	NC_074665.1	50386860	F	20	95.00	5.00
NC_074665.1.50386881	NC_074665.1	50386881	F	20	95.00	5.00
NC_074665.1.50388164	NC_074665.1	50388164	F	20	95.00	5.00
NC_074665.1.50388217	NC_074665.1	50388217	F	21	100.00	0.00
NC_074665.1.50388221	NC_074665.1	50388221	F	22	81.82	18.18
NC_074665.1.50388224	NC_074665.1	50388224	F	20	100.00	0.00
NC_074665.1.50388227	NC_074665.1	50388227	F	20	100.00	0.00
NC_074665.1.50388230	NC_074665.1	50388230	F	21	76.19	23.81
NC_074665.1.50388233	NC_074665.1	50388233	F	21	95.24	4.76
NC_074665.1.50388239	NC_074665.1	50388239	F	22	100.00	0.00
NC_074665.1.50388252	NC_074665.1	50388252	F	21	100.00	0.00
NC_074665.1.50388259	NC_074665.1	50388259	F	21	100.00	0.00
NC_074665.1.50388264	NC_074665.1	50388264	F	21	95.24	4.76
NC_074665.1.50388281	NC_074665.1	50388281	F	21	71.43	28.57
NC_074665.1.50388125	NC_074665.1	50388125	R	20	95.00	5.00
NC_074665.1.50388132	NC_074665.1	50388132	R	20	100.00	0.00
NC_074665.1.50388143	NC_074665.1	50388143	R	24	95.83	4.17
NC_074665.1.50388165	NC_074665.1	50388165	R	30	93.33	6.67
NC_074665.1.50388175	NC_074665.1	50388175	R	38	92.11	7.89
NC_074665.1.50388218	NC_074665.1	50388218	R	42	95.24	4.76
NC_074665.1.50388222	NC_074665.1	50388222	R	45	93.33	6.67
NC_074665.1.50388225	NC_074665.1	50388225	R	46	93.48	6.52
NC_074665.1.50388228	NC_074665.1	50388228	R	46	95.65	4.35
NC_074665.1.50388231	NC_074665.1	50388231	R	45	95.56	4.44
NC_074665.1.50388234	NC_074665.1	50388234	R	42	95.24	4.76
NC_074665.1.50388240	NC_074665.1	50388240	R	36	91.67	8.33
NC_074665.1.50388247	NC_074665.1	50388247	R	34	94.12	5.88
NC_074665.1.50388253	NC_074665.1	50388253	R	34	91.18	8.82
NC_074665.1.50388260	NC_074665.1	50388260	R	32	96.88	3.12
NC_074665.1.50388265	NC_074665.1	50388265	R	30	96.67	3.33
NC_074665.1.50388282	NC_074665.1	50388282	R	30	93.33	6.67
NC_074665.1.50388288	NC_074665.1	50388288	R	29	93.10	6.90
NC_074665.1.54489331	NC_074665.1	54489331	F	21	90.48	9.52
NC_074665.1.54489339	NC_074665.1	54489339	F	21	100.00	0.00
NC_074665.1.54489384	NC_074665.1	54489384	F	21	80.95	19.05
NC_074665.1.54489622	NC_074665.1	54489622	F	21	90.48	9.52
NC_074665.1.54489639	NC_074665.1	54489639	F	22	95.45	4.55
NC_074665.1.54489658	NC_074665.1	54489658	F	23	95.65	4.35
NC_074665.1.54489332	NC_074665.1	54489332	R	30	76.67	23.33
NC_074665.1.54489340	NC_074665.1	54489340	R	30	96.67	3.33
NC_074665.1.54489385	NC_074665.1	54489385	R	26	65.38	34.62
NC_074665.1.54489619	NC_074665.1	54489619	R	21	100.00	0.00
NC_074665.1.54489623	NC_074665.1	54489623	R	20	90.00	10.00
NC_074665.1.54489640	NC_074665.1	54489640	R	24	91.67	8.33
NC_074665.1.54489659	NC_074665.1	54489659	R	30	100.00	0.00
NC_074665.1.54489685	NC_074665.1	54489685	R	25	88.00	12.00
NC_074665.1.54489694	NC_074665.1	54489694	R	23	91.30	8.70
NC_074665.1.56454747	NC_074665.1	56454747	F	20	80.00	20.00
NC_074665.1.56742784	NC_074665.1	56742784	F	22	95.45	4.55
NC_074665.1.56742812	NC_074665.1	56742812	F	21	90.48	9.52
NC_074665.1.56742815	NC_074665.1	56742815	F	21	100.00	0.00
NC_074665.1.56742817	NC_074665.1	56742817	F	22	95.45	4.55
NC_074665.1.56743091	NC_074665.1	56743091	F	22	95.45	4.55
NC_074665.1.56743102	NC_074665.1	56743102	F	21	90.48	9.52
NC_074665.1.56742785	NC_074665.1	56742785	R	22	90.91	9.09
NC_074665.1.56742813	NC_074665.1	56742813	R	20	95.00	5.00
NC_074665.1.56742818	NC_074665.1	56742818	R	20	100.00	0.00
NC_074665.1.56743018	NC_074665.1	56743018	R	20	90.00	10.00
NC_074665.1.56743039	NC_074665.1	56743039	R	23	95.65	4.35
NC_074665.1.56743061	NC_074665.1	56743061	R	24	95.83	4.17
NC_074665.1.56743092	NC_074665.1	56743092	R	24	87.50	12.50
NC_074665.1.56743103	NC_074665.1	56743103	R	24	87.50	12.50
NC_074665.1.56743127	NC_074665.1	56743127	R	22	90.91	9.09
NC_074665.1.59352957	NC_074665.1	59352957	R	20	95.00	5.00
NC_074665.1.59352976	NC_074665.1	59352976	R	20	100.00	0.00
NC_074665.1.61505867	NC_074665.1	61505867	F	25	84.00	16.00
NC_074665.1.67592096	NC_074665.1	67592096	F	24	91.67	8.33
NC_074665.1.67592104	NC_074665.1	67592104	F	27	92.59	7.41
NC_074665.1.67592111	NC_074665.1	67592111	F	24	87.50	12.50
NC_074665.1.67592156	NC_074665.1	67592156	F	27	88.89	11.11
NC_074665.1.67903397	NC_074665.1	67903397	R	20	90.00	10.00
NC_074665.1.67903442	NC_074665.1	67903442	R	20	90.00	10.00
NC_074665.1.69327453	NC_074665.1	69327453	F	23	30.43	69.57
NC_074665.1.69327454	NC_074665.1	69327454	R	26	46.15	53.85
NC_074665.1.69327739	NC_074665.1	69327739	R	23	82.61	17.39
NC_074665.1.69482361	NC_074665.1	69482361	F	33	81.82	18.18
NC_074665.1.69482661	NC_074665.1	69482661	F	24	50.00	50.00
NC_074665.1.69482362	NC_074665.1	69482362	R	22	72.73	27.27
NC_074665.1.72334155	NC_074665.1	72334155	R	22	95.45	4.55
NC_074665.1.72334291	NC_074665.1	72334291	R	22	90.91	9.09
NC_074665.1.72952008	NC_074665.1	72952008	F	20	80.00	20.00
NC_074665.1.72952279	NC_074665.1	72952279	F	22	100.00	0.00
NC_074665.1.83273782	NC_074665.1	83273782	R	22	68.18	31.82
NC_074665.1.83273822	NC_074665.1	83273822	R	21	80.95	19.05
NC_074665.1.84028268	NC_074665.1	84028268	R	21	61.90	38.10
NC_074665.1.84046519	NC_074665.1	84046519	R	20	60.00	40.00
NC_074665.1.84046558	NC_074665.1	84046558	R	24	75.00	25.00
NC_074665.1.84065082	NC_074665.1	84065082	R	27	74.07	25.93
NC_074665.1.84065121	NC_074665.1	84065121	R	21	90.48	9.52
NC_074665.1.85433197	NC_074665.1	85433197	R	32	59.38	40.62
NC_074665.1.85433343	NC_074665.1	85433343	R	23	69.57	30.43
NC_074665.1.85435112	NC_074665.1	85435112	F	32	46.88	53.12
NC_074665.1.85435208	NC_074665.1	85435208	F	55	32.73	67.27
NC_074665.1.85539144	NC_074665.1	85539144	F	25	32.00	68.00
NC_074665.1.86570171	NC_074665.1	86570171	F	20	95.00	5.00
NC_074665.1.86570201	NC_074665.1	86570201	F	29	93.10	6.90
NC_074665.1.86570231	NC_074665.1	86570231	F	42	90.48	9.52
NC_074665.1.86570261	NC_074665.1	86570261	F	43	88.37	11.63
