chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.267509	NC_074665.1	267509	F	39	69.23	30.77
NC_074665.1.267558	NC_074665.1	267558	F	44	86.36	13.64
NC_074665.1.266067	NC_074665.1	266067	R	34	79.41	20.59
NC_074665.1.267510	NC_074665.1	267510	R	22	81.82	18.18
NC_074665.1.3003126	NC_074665.1	3003126	F	20	65.00	35.00
NC_074665.1.3003180	NC_074665.1	3003180	F	45	73.33	26.67
NC_074665.1.3003234	NC_074665.1	3003234	F	41	73.17	26.83
NC_074665.1.3629842	NC_074665.1	3629842	F	21	76.19	23.81
NC_074665.1.4866770	NC_074665.1	4866770	F	28	92.86	7.14
NC_074665.1.4930977	NC_074665.1	4930977	F	20	0.00	100.00
NC_074665.1.7075728	NC_074665.1	7075728	R	21	95.24	4.76
NC_074665.1.7075737	NC_074665.1	7075737	R	21	95.24	4.76
NC_074665.1.7075784	NC_074665.1	7075784	R	21	80.95	19.05
NC_074665.1.7075793	NC_074665.1	7075793	R	20	90.00	10.00
NC_074665.1.7075812	NC_074665.1	7075812	R	23	100.00	0.00
NC_074665.1.7075821	NC_074665.1	7075821	R	22	100.00	0.00
NC_074665.1.7075840	NC_074665.1	7075840	R	24	95.83	4.17
NC_074665.1.7075849	NC_074665.1	7075849	R	24	91.67	8.33
NC_074665.1.7075854	NC_074665.1	7075854	R	23	100.00	0.00
NC_074665.1.7075868	NC_074665.1	7075868	R	23	95.65	4.35
NC_074665.1.7075877	NC_074665.1	7075877	R	22	100.00	0.00
NC_074665.1.7075882	NC_074665.1	7075882	R	21	100.00	0.00
NC_074665.1.7075896	NC_074665.1	7075896	R	22	86.36	13.64
NC_074665.1.7075905	NC_074665.1	7075905	R	23	91.30	8.70
NC_074665.1.7075910	NC_074665.1	7075910	R	21	100.00	0.00
NC_074665.1.7075924	NC_074665.1	7075924	R	23	86.96	13.04
NC_074665.1.7488799	NC_074665.1	7488799	F	48	39.58	60.42
NC_074665.1.7488816	NC_074665.1	7488816	F	52	36.54	63.46
NC_074665.1.7488833	NC_074665.1	7488833	F	53	39.62	60.38
NC_074665.1.7488850	NC_074665.1	7488850	F	49	34.69	65.31
NC_074665.1.7488867	NC_074665.1	7488867	F	54	44.44	55.56
NC_074665.1.7488884	NC_074665.1	7488884	F	56	35.71	64.29
NC_074665.1.7488901	NC_074665.1	7488901	F	63	39.68	60.32
NC_074665.1.7488918	NC_074665.1	7488918	F	57	43.86	56.14
NC_074665.1.7488935	NC_074665.1	7488935	F	48	37.50	62.50
NC_074665.1.7530767	NC_074665.1	7530767	R	23	78.26	21.74
NC_074665.1.7530819	NC_074665.1	7530819	R	25	88.00	12.00
NC_074665.1.7530871	NC_074665.1	7530871	R	23	100.00	0.00
NC_074665.1.8117563	NC_074665.1	8117563	F	23	82.61	17.39
NC_074665.1.8117567	NC_074665.1	8117567	F	26	0.00	100.00
NC_074665.1.8117651	NC_074665.1	8117651	F	22	72.73	27.27
NC_074665.1.13254747	NC_074665.1	13254747	F	23	78.26	21.74
NC_074665.1.15707019	NC_074665.1	15707019	F	20	85.00	15.00
NC_074665.1.35171680	NC_074665.1	35171680	R	20	85.00	15.00
NC_074665.1.38981605	NC_074665.1	38981605	R	20	100.00	0.00
NC_074665.1.43031638	NC_074665.1	43031638	F	20	95.00	5.00
NC_074665.1.43032099	NC_074665.1	43032099	F	20	95.00	5.00
NC_074665.1.43033344	NC_074665.1	43033344	F	21	85.71	14.29
NC_074665.1.45225816	NC_074665.1	45225816	F	23	60.87	39.13
NC_074665.1.45225817	NC_074665.1	45225817	R	26	73.08	26.92
NC_074665.1.50386812	NC_074665.1	50386812	F	22	100.00	0.00
