chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.266067	NC_074665.1	266067	R	22	86.36	13.64
NC_074665.1.3003126	NC_074665.1	3003126	F	28	75.00	25.00
NC_074665.1.3003180	NC_074665.1	3003180	F	71	76.06	23.94
NC_074665.1.3003234	NC_074665.1	3003234	F	66	71.21	28.79
NC_074665.1.3003288	NC_074665.1	3003288	F	20	85.00	15.00
NC_074665.1.5767628	NC_074665.1	5767628	F	21	80.95	19.05
NC_074665.1.6905264	NC_074665.1	6905264	R	20	80.00	20.00
NC_074665.1.15791064	NC_074665.1	15791064	R	21	66.67	33.33
NC_074665.1.30758336	NC_074665.1	30758336	F	20	95.00	5.00
NC_074665.1.30758350	NC_074665.1	30758350	F	20	90.00	10.00
NC_074665.1.54489332	NC_074665.1	54489332	R	25	76.00	24.00
NC_074665.1.54489340	NC_074665.1	54489340	R	25	88.00	12.00
NC_074665.1.54489385	NC_074665.1	54489385	R	20	80.00	20.00
NC_074665.1.54489659	NC_074665.1	54489659	R	25	100.00	0.00
NC_074665.1.54489685	NC_074665.1	54489685	R	21	90.48	9.52
NC_074665.1.54489694	NC_074665.1	54489694	R	20	90.00	10.00
NC_074665.1.61505867	NC_074665.1	61505867	F	24	58.33	41.67
NC_074665.1.61506621	NC_074665.1	61506621	F	23	91.30	8.70
NC_074665.1.61506726	NC_074665.1	61506726	F	37	86.49	13.51
NC_074665.1.61509380	NC_074665.1	61509380	F	23	78.26	21.74
NC_074665.1.61509555	NC_074665.1	61509555	F	25	92.00	8.00
NC_074665.1.67592081	NC_074665.1	67592081	F	20	95.00	5.00
NC_074665.1.67592096	NC_074665.1	67592096	F	34	94.12	5.88
NC_074665.1.67592104	NC_074665.1	67592104	F	36	91.67	8.33
NC_074665.1.67592111	NC_074665.1	67592111	F	37	89.19	10.81
NC_074665.1.67592156	NC_074665.1	67592156	F	32	71.88	28.12
NC_074665.1.67592391	NC_074665.1	67592391	F	22	95.45	4.55
NC_074665.1.67592436	NC_074665.1	67592436	F	23	82.61	17.39
NC_074665.1.67592452	NC_074665.1	67592452	F	21	85.71	14.29
NC_074665.1.67592157	NC_074665.1	67592157	R	20	85.00	15.00
NC_074665.1.69327453	NC_074665.1	69327453	F	22	40.91	59.09
NC_074665.1.69327495	NC_074665.1	69327495	F	23	82.61	17.39
NC_074665.1.69327738	NC_074665.1	69327738	F	22	86.36	13.64
NC_074665.1.69482361	NC_074665.1	69482361	F	55	63.64	36.36
NC_074665.1.69482661	NC_074665.1	69482661	F	32	84.38	15.62
NC_074665.1.69482362	NC_074665.1	69482362	R	49	67.35	32.65
NC_074665.1.69482662	NC_074665.1	69482662	R	30	73.33	26.67
NC_074665.1.76774364	NC_074665.1	76774364	F	38	42.11	57.89
NC_074665.1.76774418	NC_074665.1	76774418	F	26	96.15	3.85
NC_074665.1.76774428	NC_074665.1	76774428	F	27	100.00	0.00
NC_074665.1.76774435	NC_074665.1	76774435	F	27	96.30	3.70
NC_074665.1.76774474	NC_074665.1	76774474	F	20	5.00	95.00
NC_074665.1.76774365	NC_074665.1	76774365	R	28	67.86	32.14
NC_074665.1.76774419	NC_074665.1	76774419	R	22	90.91	9.09
NC_074665.1.76774429	NC_074665.1	76774429	R	22	95.45	4.55
NC_074665.1.76774436	NC_074665.1	76774436	R	20	95.00	5.00
NC_074665.1.76796617	NC_074665.1	76796617	R	20	70.00	30.00
NC_074665.1.76796643	NC_074665.1	76796643	R	21	90.48	9.52
NC_074665.1.76796669	NC_074665.1	76796669	R	21	95.24	4.76
NC_074665.1.77268618	NC_074665.1	77268618	F	20	65.00	35.00
NC_074665.1.78901477	NC_074665.1	78901477	F	22	45.45	54.55
NC_074665.1.85433197	NC_074665.1	85433197	R	23	73.91	26.09
NC_074665.1.85435112	NC_074665.1	85435112	F	24	41.67	58.33
NC_074665.1.85435208	NC_074665.1	85435208	F	46	32.61	67.39
NC_074665.1.86570201	NC_074665.1	86570201	F	24	100.00	0.00
NC_074665.1.86570231	NC_074665.1	86570231	F	35	97.14	2.86
NC_074665.1.86570261	NC_074665.1	86570261	F	35	94.29	5.71
NC_074665.1.86570291	NC_074665.1	86570291	F	32	96.88	3.12
NC_074665.1.86570321	NC_074665.1	86570321	F	30	96.67	3.33
NC_074665.1.92377200	NC_074665.1	92377200	F	20	90.00	10.00
NC_074665.1.92377214	NC_074665.1	92377214	F	21	85.71	14.29
NC_074665.1.92377216	NC_074665.1	92377216	F	20	90.00	10.00
NC_074665.1.92377220	NC_074665.1	92377220	F	20	100.00	0.00
NC_074665.1.92377229	NC_074665.1	92377229	F	20	85.00	15.00
NC_074665.1.92388759	NC_074665.1	92388759	R	21	90.48	9.52
NC_074665.1.92551355	NC_074665.1	92551355	F	24	91.67	8.33
NC_074665.1.92551403	NC_074665.1	92551403	F	34	91.18	8.82
NC_074665.1.92551451	NC_074665.1	92551451	F	37	94.59	5.41
NC_074665.1.92577842	NC_074665.1	92577842	F	22	86.36	13.64
NC_074665.1.92586859	NC_074665.1	92586859	F	21	85.71	14.29
NC_074665.1.92586870	NC_074665.1	92586870	F	20	95.00	5.00
NC_074665.1.92586881	NC_074665.1	92586881	F	20	100.00	0.00
NC_074665.1.92587023	NC_074665.1	92587023	F	20	80.00	20.00
NC_074665.1.92587038	NC_074665.1	92587038	F	20	85.00	15.00
NC_074665.1.92587054	NC_074665.1	92587054	F	22	77.27	22.73
NC_074665.1.92586856	NC_074665.1	92586856	R	25	80.00	20.00
NC_074665.1.92586860	NC_074665.1	92586860	R	22	86.36	13.64
NC_074665.1.92586871	NC_074665.1	92586871	R	20	90.00	10.00
NC_074665.1.93334651	NC_074665.1	93334651	R	21	90.48	9.52
