chrBase	chr	base	strand	coverage	freqC	freqT
NC_074665.1.267509	NC_074665.1	267509	F	36	58.33	41.67
NC_074665.1.267558	NC_074665.1	267558	F	41	82.93	17.07
NC_074665.1.266067	NC_074665.1	266067	R	30	83.33	16.67
NC_074665.1.267510	NC_074665.1	267510	R	34	70.59	29.41
NC_074665.1.267559	NC_074665.1	267559	R	32	81.25	18.75
NC_074665.1.725965	NC_074665.1	725965	F	21	100.00	0.00
NC_074665.1.725969	NC_074665.1	725969	F	23	73.91	26.09
NC_074665.1.726005	NC_074665.1	726005	F	27	92.59	7.41
NC_074665.1.726038	NC_074665.1	726038	F	29	89.66	10.34
NC_074665.1.918255	NC_074665.1	918255	R	20	100.00	0.00
NC_074665.1.918275	NC_074665.1	918275	R	21	100.00	0.00
NC_074665.1.918280	NC_074665.1	918280	R	20	100.00	0.00
NC_074665.1.918291	NC_074665.1	918291	R	20	100.00	0.00
NC_074665.1.918321	NC_074665.1	918321	R	20	95.00	5.00
NC_074665.1.1454383	NC_074665.1	1454383	F	32	78.12	21.88
NC_074665.1.1454612	NC_074665.1	1454612	F	25	84.00	16.00
NC_074665.1.1454616	NC_074665.1	1454616	F	26	88.46	11.54
NC_074665.1.1454663	NC_074665.1	1454663	F	26	80.77	19.23
NC_074665.1.1454669	NC_074665.1	1454669	F	24	83.33	16.67
NC_074665.1.1454384	NC_074665.1	1454384	R	25	76.00	24.00
NC_074665.1.1454613	NC_074665.1	1454613	R	29	96.55	3.45
NC_074665.1.1454617	NC_074665.1	1454617	R	32	90.62	9.38
NC_074665.1.1454664	NC_074665.1	1454664	R	23	86.96	13.04
NC_074665.1.1454670	NC_074665.1	1454670	R	26	96.15	3.85
NC_074665.1.1460029	NC_074665.1	1460029	F	20	85.00	15.00
NC_074665.1.1460318	NC_074665.1	1460318	F	21	95.24	4.76
NC_074665.1.1460270	NC_074665.1	1460270	R	20	100.00	0.00
NC_074665.1.1460278	NC_074665.1	1460278	R	21	90.48	9.52
NC_074665.1.1460296	NC_074665.1	1460296	R	21	76.19	23.81
NC_074665.1.1460299	NC_074665.1	1460299	R	20	90.00	10.00
NC_074665.1.1460305	NC_074665.1	1460305	R	22	95.45	4.55
NC_074665.1.1460319	NC_074665.1	1460319	R	22	100.00	0.00
NC_074665.1.1460330	NC_074665.1	1460330	R	21	100.00	0.00
NC_074665.1.3003180	NC_074665.1	3003180	F	29	79.31	20.69
NC_074665.1.3003234	NC_074665.1	3003234	F	37	67.57	32.43
NC_074665.1.3629775	NC_074665.1	3629775	F	22	77.27	22.73
NC_074665.1.3629842	NC_074665.1	3629842	F	24	83.33	16.67
NC_074665.1.3630087	NC_074665.1	3630087	F	26	84.62	15.38
NC_074665.1.3630092	NC_074665.1	3630092	F	22	77.27	22.73
NC_074665.1.3630106	NC_074665.1	3630106	F	24	62.50	37.50
NC_074665.1.3630111	NC_074665.1	3630111	F	24	83.33	16.67
NC_074665.1.3630118	NC_074665.1	3630118	F	24	83.33	16.67
NC_074665.1.3630121	NC_074665.1	3630121	F	25	88.00	12.00
NC_074665.1.3865075	NC_074665.1	3865075	R	23	69.57	30.43
NC_074665.1.6905222	NC_074665.1	6905222	R	21	90.48	9.52
NC_074665.1.6905264	NC_074665.1	6905264	R	20	90.00	10.00
NC_074665.1.7488799	NC_074665.1	7488799	F	43	88.37	11.63
NC_074665.1.7488816	NC_074665.1	7488816	F	48	83.33	16.67
NC_074665.1.7488833	NC_074665.1	7488833	F	47	91.49	8.51
NC_074665.1.7488850	NC_074665.1	7488850	F	46	80.43	19.57
NC_074665.1.7488867	NC_074665.1	7488867	F	47	87.23	12.77
NC_074665.1.7488884	NC_074665.1	7488884	F	50	80.00	20.00
NC_074665.1.7488901	NC_074665.1	7488901	F	48	83.33	16.67
NC_074665.1.7488918	NC_074665.1	7488918	F	47	78.72	21.28
NC_074665.1.7488935	NC_074665.1	7488935	F	36	63.89	36.11
NC_074665.1.7490108	NC_074665.1	7490108	F	22	68.18	31.82
NC_074665.1.7490125	NC_074665.1	7490125	F	20	80.00	20.00
NC_074665.1.7490227	NC_074665.1	7490227	F	34	82.35	17.65
NC_074665.1.10091552	NC_074665.1	10091552	F	21	100.00	0.00
NC_074665.1.10091567	NC_074665.1	10091567	F	21	100.00	0.00
NC_074665.1.10091575	NC_074665.1	10091575	F	21	95.24	4.76
NC_074665.1.10091593	NC_074665.1	10091593	F	22	100.00	0.00
NC_074665.1.10091602	NC_074665.1	10091602	F	23	95.65	4.35
NC_074665.1.10091616	NC_074665.1	10091616	F	23	95.65	4.35
NC_074665.1.10091643	NC_074665.1	10091643	F	21	80.95	19.05
NC_074665.1.10091963	NC_074665.1	10091963	F	21	95.24	4.76
NC_074665.1.10091617	NC_074665.1	10091617	R	20	95.00	5.00
NC_074665.1.10091644	NC_074665.1	10091644	R	21	100.00	0.00
NC_074665.1.10091937	NC_074665.1	10091937	R	21	100.00	0.00
NC_074665.1.10091964	NC_074665.1	10091964	R	21	95.24	4.76
NC_074665.1.13254905	NC_074665.1	13254905	F	20	35.00	65.00
NC_074665.1.15791029	NC_074665.1	15791029	R	22	81.82	18.18
NC_074665.1.15791064	NC_074665.1	15791064	R	24	91.67	8.33
NC_074665.1.15791134	NC_074665.1	15791134	R	20	90.00	10.00
NC_074665.1.19879917	NC_074665.1	19879917	F	21	66.67	33.33
NC_074665.1.24883195	NC_074665.1	24883195	R	20	100.00	0.00
NC_074665.1.24883231	NC_074665.1	24883231	R	21	80.95	19.05
